Feature	Mouse PCS	Human PCS
Alu	0.393102179	0.19125246
AMYB_HTH_T	0.266074542	-0.003800024
AP-1_bZIP_	-0.031945597	-0.107357001
AP-2alpha_	0.034972001	-0.025109377
AP-2gamma_	0.044915848	-0.03386162
Ap4_bHLH_A	0.252064405	-0.017871652
AR-halfsit	0.144197715	-0.076041778
ARE_NR_LNC	0.299669937	-0.021756546
Arnt:Ahr_b	0.166271458	0.005330494
Ascl1_bHLH	0.049982966	0.019893162
Atf3_bZIP_	-0.017801171	-0.111595431
Bapx1_Home	0.224683359	0.160482574
Barx1_Home	-0.117879132	-0.082679138
BATF_bZIP_	-0.01251653	-0.121957559
Bcl6_Zf_Li	0.014844254	-0.146266367
BMYB_HTH_H	0.25854446	0.015557843
BORIS_Zf_K	0.325038447	-0.003161919
"Brn1_POU,H"	-0.294198377	-0.11697199
c-Myc_bHLH	0.378769437	-0.029107266
Cdx2_Homeo	0.036433161	-0.114513252
CDX4_Homeo	0.022944241	-0.115190861
CEBP_bZIP_	-0.24164329	0.004946708
CEBP:AP1_b	-0.20955783	-0.124197341
CTCF_known	0.332907956	0.00276659
CTCF_Zf_CD	0.261010122	-0.009184219
Cux2_Homeo	-0.276072375	-0.146187876
"E2A_bHLH_,"	0.075942245	0.159978396
E2A_bHLH_p	0.289629618	0.189230296
E2F3_E2F_M	0.110094307	0.055475265
E2F4_E2F_K	0.17936136	0.078717736
E2F6_E2F_H	0.107426907	0.036537939
EBF1_EBF_N	-0.031637919	-0.092899711
Eomes_T-bo	-0.195570798	-0.123019279
Erra_NR_He	0.213610342	0.076786103
ERVL-MaLR	-0.02662821	-0.136581138
FOXA1_Fork	0.159270772	-0.065248727
Foxa2_Fork	-0.028290188	-0.10894345
Foxf1_Fork	0.075591917	-0.069243676
FOXK1_Fork	-0.189020859	-0.097611459
FoxL2_Fork	0.055674519	-0.059836238
FOXM1_Fork	0.133617363	-0.074737304
Gata4_Zf_H	-0.234157146	-0.129076141
Gata6_Zf_H	-0.195611345	-0.127436683
HEB_bHLH_m	0.20158964	0.164533658
HLF_bZIP_H	-0.149842282	-0.064960641
HNF6_Homeo	-0.274931362	-0.155807183
HOXA9_Home	-0.073631396	-0.153431411
HOXB13_Hom	-0.142490544	-0.11746845
Hoxc9_Home	-0.04404988	-0.142291625
HOXD13_Hom	-0.156259446	-0.092811696
KLF14_Zf_H	0.091909458	0.102394065
KLF3_Zf_ME	0.202136395	0.135566606
Klf4_Zf_mE	0.157695175	0.137734335
KLF5_Zf_Lo	0.190725791	0.090654848
KLF6_Zf_PD	0.163885049	0.062921392
Klf9_Zf_GB	0.117643926	0.098868431
L1	-0.194828594	0.133045129
L2	-0.012859084	-0.089846701
Lhx1_Homeo	-0.198352791	-0.158800439
Lhx3_Homeo	-0.229565246	-0.179944216
LRF_Zf_Ery	0.084121213	0.040564873
"LXRE_NR_,D"	0.023090602	0.160331282
Max_bHLH_K	0.269674184	-0.066411723
Mef2a_MADS	-0.02222872	0.102275214
Mef2c_MADS	0.082157874	0.096434618
MIR	-0.057123498	-0.126228182
Myf5_bHLH_	0.14388204	0.000857117
MyoD_bHLH_	0.170475391	0.007478032
n-Myc_bHLH	0.373127976	-0.073601932
Nanog_Home	-0.417796538	-0.211077048
NeuroD1_bH	0.11625234	-0.051168086
NFAT_RHD_J	-0.393130819	-0.125140231
NFY_CCAAT_	-0.328516004	-0.141225359
Nkx2.1_Hom	0.214790245	0.114605561
Nkx2.2_Hom	0.238902725	0.147286256
Nkx2.5_Hom	0.075146704	0.083103393
Nkx3.1_Hom	0.155627336	0.115790109
NPAS2_bHLH	0.175290691	-0.069018707
Nr5a2_NR_m	0.205032714	-0.041611353
Nr5a2_NR_P	0.213072058	-0.024466475
OCT:OCT_PO	-0.014888637	-0.093167148
"Oct2_POU,H"	-0.293251	-0.07922135
"Oct4_POU,H"	-0.303373073	-0.110157242
OCT4-SOX2-	-0.074844813	-0.094905892
"Oct6_POU,H"	-0.35265931	-0.12885463
Olig2_bHLH	-0.050398665	-0.116228339
Otx2_Homeo	0.1973787	-0.043802481
Pax8_Paire	0.085172598	0.115352459
Pdx1_Homeo	-0.312458196	-0.195390991
Phox2a_Hom	-0.055952236	-0.106274848
Pit1_Homeo	-0.217359644	-0.161485566
Pit1+1bp_H	-0.154405329	-0.131846005
PR_NR_T47D	0.186244439	-0.102827853
PRDM1_Zf_H	-0.288457101	-0.095573787
Prop1_Home	-0.040557803	-0.09243145
Ptf1a_bHLH	0.223154405	0.122050452
PU.1-IRF_E	-0.172992017	-0.103151364
RAR:RXR_NR	0.31515102	0.097834607
RARg_NR_ES	0.333838252	0.041833034
Rbpj1_?_Pa	-0.018142916	-0.137282254
Rfx5_HTH_G	0.307026707	0.048552878
Rfx6_HTH_M	0.140698374	-0.023036346
SF1_NR_H29	0.195187878	-0.002393875
Simple_rep	0.071561434	-0.127916956
Six2_Homeo	-0.122703844	-0.09049019
Slug_Zf_Me	0.225237553	0.148522816
Smad4_MAD_	0.126231671	-0.032471034
Sox10_HMG_	-0.292165513	-0.124652724
Sox15_HMG_	-0.260098334	-0.104525082
Sox17_HMG_	-0.276374956	-0.126845114
Sox2_HMG_m	-0.293998572	-0.136670878
Sox6_HMG_M	-0.316062413	-0.13620752
Sp1_Zf_Pro	0.156499404	0.042087691
Sp5_Zf_mES	0.180488409	0.070312125
Srebp1a_bH	-0.065397716	0.133463133
Srebp2_bHL	-0.043107134	0.144345428
STAT6_Stat	-0.160291093	-0.104050827
TATA-Box_T	0.089151573	-0.035064253
Tbet_T-box	-0.101416542	-0.038932585
Tcf12_bHLH	0.171911463	-0.018832393
TEAD_TEA_F	-0.252561695	-0.034775988
THRa_NR_C1	0.069340369	0.161912772
Unknown_Ho	-0.196942194	-0.107424965
Unknown-ES	0.108457081	-0.061226472
ZEB1_Zf_PD	0.171607069	0.163735642
Zfp281_Zf_	0.146070477	-0.019241131
Zic_Zf_Cer	0.202202758	-0.066756666
Zic3_Zf_mE	0.116721876	-0.057950149
ZNF143_STA	0.321833073	0.017274647
Znf263_Zf_	-0.015184551	0.034308914
ZNF264_Zf_	0.194245576	-0.055284943
ZNF322_Zf_	0.01820173	0.031439743
ZNF416_Zf_	0.134427357	0.196048138
ZNF467_Zf_	0.069984465	-0.063657196
